Regione,Località,Latitudine,Longitudine,AQI,CO,NO2,SO2,PM2.5,PM10
"Regione non valida","Trieste","45.6496485","13.7772781","2","307.08","5.44","1.3","2.74","3.51"
"Regione non valida","Trieste","45.6496485","13.7772781","2","307.08","5.44","1.3","2.74","3.51"
"Regione non valida","Trieste","45.6496485","13.7772781","2","307.08","5.44","1.3","2.74","3.51"
"Lombardia","Milano","45.4641943","9.1896346","2","380.52","14.05","0.63","4.44","5.21"
"Lombardia","Milano","45.4641943","9.1896346","2","380.52","14.05","0.63","4.44","5.21"
"Lombardia","Milano","45.4641943","9.1896346","2","380.52","14.05","0.63","4.44","5.21"
"Lombardia","Milano","45.4641943","9.1896346","2","380.52","14.05","0.63","4.44","5.21"
"Lombardia","Milano","45.4641943","9.1896346","2","380.52","14.05","0.63","4.44","5.21"
"Piemonte","Ivrea","45.4673791","7.874797","2","300.41","5.83","0.25","4.04","4.44"
"Piemonte","Ivrea","45.4673791","7.874797","2","300.41","5.83","0.25","4.04","4.44"
"Piemonte","Ivrea","45.4673791","7.874797","2","300.41","5.83","0.25","4.04","4.44"
"Piemonte","Ivrea","45.4673791","7.874797","2","300.41","5.83","0.25","4.04","4.44"
"Piemonte","Ivrea","45.4673791","7.874797","2","300.41","5.83","0.25","4.04","4.44"
"Piemonte","Ivrea","45.4673791","7.874797","2","300.41","5.83","0.25","4.04","4.44"
"Piemonte","Ivrea","45.4673791","7.874797","2","300.41","5.83","0.25","4.04","4.44"
"Piemonte","Ivrea","45.4673791","7.874797","2","307.08","7.71","0.3","3.87","4.31"
"Piemonte","Ivrea","45.4673791","7.874797","2","307.08","7.71","0.3","3.87","4.31"
"Piemonte","Ivrea","45.4673791","7.874797","2","307.08","7.71","0.3","3.87","4.31"
"Regione non valida","Trieste","45.6496485","13.7772781","1","347.14","9.17","1.07","2.65","3.68"
"Veneto","Padova","45.391408","11.805848677115883","3","333.79","2.79","1.73","23.87","26.86"
"Veneto","Padova","45.391408","11.805848677115883","3","333.79","2.79","1.73","23.87","26.86"
"Veneto","Padova","45.391408","11.805848677115883","3","323.77","3","1.55","22.22","25.15"
"Veneto","Padova","45.391408","11.805848677115883","3","323.77","3","1.55","22.22","25.15"
"Veneto","Padova","45.391408","11.805848677115883","3","323.77","3","1.55","22.22","25.15"
"Veneto","Padova","45.391408","11.805848677115883","3","323.77","3","1.55","22.22","25.15"
"Veneto","Padova","45.391408","11.805848677115883","3","323.77","3","1.55","22.22","25.15"
"Piemonte","Ivrea","45.4673791","7.874797","3","333.79","3.94","0.94","30.89","32.97"
"Piemonte","Ivrea","45.4673791","7.874797","3","333.79","3.94","0.94","30.89","32.97"
"Piemonte","Ivrea","45.4673791","7.874797","3","333.79","3.94","0.94","30.89","32.97"
"Piemonte","Ivrea","45.4673791","7.874797","3","337.12","5.57","1.06","29.94","31.95"
"Piemonte","Ivrea","45.4673791","7.874797","3","337.12","5.57","1.06","29.94","31.95"
"Piemonte","Ivrea","45.4673791","7.874797","3","337.12","5.57","1.06","29.94","31.95"
"Piemonte","Ivrea","45.4673791","7.874797","3","337.12","5.57","1.06","29.94","31.95"
"Piemonte","Ivrea","45.4673791","7.874797","3","337.12","5.57","1.06","29.94","31.95"
"Piemonte","Ivrea","45.4673791","7.874797","3","337.12","5.57","1.06","29.94","31.95"
"Piemonte","Ivrea","45.4673791","7.874797","3","320.44","1.39","1.46","34.43","36.34"
"Piemonte","Ivrea","45.4673791","7.874797","3","320.44","1.39","1.46","34.43","36.34"
"Piemonte","Ivrea","45.4673791","7.874797","3","320.44","1.39","1.46","34.43","36.34"
"Piemonte","Ivrea","45.4673791","7.874797","3","320.44","1.39","1.46","34.43","36.34"
"Piemonte","Ivrea","45.4673791","7.874797","3","320.44","1.39","1.46","34.43","36.34"
"Piemonte","Ivrea","45.4673791","7.874797","3","320.44","1.39","1.46","34.43","36.34"
"Piemonte","Biella","45.5669538","8.086912008297636","3","357.15","2.08","1.62","37.74","39.24"
"Piemonte","Biella","45.5669538","8.086912008297636","3","357.15","2.08","1.62","37.74","39.24"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-21 16:44:01","3","447.27","11.82","0.72","49.73","52.04"
"Calabria","Cosenza","39.596685300000004","16.333055599019605","2025-03-21 16:47:00","3","273.71","2.96","0.65","11.79","12.47"
"Liguria","Alassio","44.0080109","8.1730265","2025-03-21 16:47:36","2","297.07","4.16","0.71","19.63","20.76"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-21 17:03:17","3","447.27","11.82","0.72","49.73","52.04"
